#Vcirc_kms	Vcirc_err	Radius_kpc
421.5802142824954 22.81690786240813 0.443
483.58812342034497 24.09154862140278 1.328
568.2707431318614 28.973118265385324 2.213
599.2456201675641 41.70318170548052 3.098
530.6136618146245 67.5005600091099 3.983
