kind,z,y,survey,label,source
DM,2.33,38.803318353475845,eBOSS-DR16,Lyα GCcomb,CobayaSampler/bao_data: desi_2024_eboss_gaussian_bao_Lya_GCcomb_mean.txt (DM_over_rs)
DH,2.33,8.717113608259234,eBOSS-DR16,Lyα GCcomb,CobayaSampler/bao_data: desi_2024_eboss_gaussian_bao_Lya_GCcomb_mean.txt (DH_over_rs)
