type,z,dv_over_rd,sigma_dv_over_rd,dm_over_rd,dh_over_rd,sigma_dm_over_rd,sigma_dh_over_rd,rho_dm_dh,survey,label,source
DV_over_rd,0.106,2.976190476,0.1328656463,,,,,,,6dFGS,Beutler+2011,r_d/D_V(0.106)=0.336±0.015 (invert)
DV_over_rd,0.15,4.465666824,0.1681350461,,,,,,,SDSS-MGS,Ross+2015,D_V(0.15)*(r_d,fid/r_d)=664±25 Mpc; r_d,fid=148.69 Mpc
DM_over_rd__DH_over_rd,0.38,,,10.27202598,24.89129157,0.1488699418,0.5802877788,-0.2280,BOSS-DR12,Alam+2017,"Table 7/8 (DM*(r_d,fid/r_d), H*(r_d/r_d,fid)); converted to (DM/r_d, D_H/r_d) with linearized covariance"
DM_over_rd__DH_over_rd,0.51,,,13.37799432,22.44071087,0.1827040195,0.4716521090,-0.2326,BOSS-DR12,Alam+2017,"Table 7/8 (DM*(r_d,fid/r_d), H*(r_d/r_d,fid)); converted to (DM/r_d, D_H/r_d) with linearized covariance"
DM_over_rd__DH_over_rd,0.61,,,15.44863987,20.84933466,0.2165380972,0.4499856402,-0.2408,BOSS-DR12,Alam+2017,"Table 7/8 (DM*(r_d,fid/r_d), H*(r_d/r_d,fid)); converted to (DM/r_d, D_H/r_d) with linearized covariance"

